Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.29,-.04,-.37,-.13,.00,-.82,-.48,-.28,-.15,-.11,-.02,.05,.65
1881,-.08,-.18,.01,-.35,.10,-.06,-.92,-.44,-.20,.10,.10,-.04,-.07,.57
1882,-.10,-.21,.00,-.31,-.05,.02,-1.42,-.26,-.14,-.05,-.05,.03,.04,.60
1883,-.17,-.27,-.06,-.34,-.16,.00,-.19,-.55,-.24,-.17,-.15,-.02,.07,.48
1884,-.28,-.43,-.15,-.61,-.15,-.14,-1.33,-.64,-.46,-.13,-.17,-.18,-.02,.63
1885,-.33,-.44,-.24,-.66,-.13,-.27,-1.54,-.69,-.46,-.06,-.20,-.32,-.15,.80
1886,-.31,-.43,-.20,-.57,-.19,-.21,-1.61,-.50,-.41,-.20,-.18,-.19,-.20,.57
1887,-.36,-.44,-.28,-.53,-.29,-.28,-1.78,-.50,-.30,-.29,-.30,-.26,-.26,.30
1888,-.17,-.23,-.11,-.42,.10,-.28,-1.32,-.42,-.25,.07,.13,-.30,-.22,.13
1889,-.10,-.18,-.03,-.30,.08,-.15,-.71,-.21,-.28,.02,.15,-.14,-.15,.42
1890,-.35,-.39,-.31,-.47,-.36,-.21,-1.16,-.56,-.28,-.26,-.46,-.16,-.27,.13
1891,-.22,-.26,-.18,-.43,-.07,-.20,-1.14,-.33,-.37,.01,-.16,-.17,-.23,-.18
1892,-.27,-.39,-.15,-.44,-.29,-.07,-1.14,-.64,-.18,-.33,-.26,.04,-.21,.07
1893,-.31,-.48,-.14,-.51,-.36,-.04,-.67,-.54,-.48,-.42,-.30,.08,-.20,-.06
1894,-.30,-.39,-.20,-.33,-.33,-.23,-.94,-.33,-.19,-.48,-.17,-.13,-.34,-.40
1895,-.22,-.31,-.14,-.41,-.07,-.25,-.69,-.53,-.28,-.14,.01,-.18,-.31,-.61
1896,-.11,-.20,-.02,-.36,.10,-.14,-.87,-.37,-.23,.05,.15,-.13,-.13,.23
1897,-.11,-.17,-.04,-.36,.17,-.22,-.56,-.47,-.25,.14,.21,-.17,-.27,.38
1898,-.27,-.28,-.25,-.35,-.22,-.25,-1.16,-.21,-.24,-.18,-.26,-.26,-.20,.35
1899,-.17,-.22,-.13,-.25,-.12,-.18,-1.07,-.09,-.16,-.16,-.07,-.14,-.21,.56
1900,-.08,-.09,-.06,-.20,.17,-.29,-.57,-.14,-.16,.09,.26,-.27,-.29,.25
1901,-.16,-.13,-.17,-.18,-.04,-.30,-.47,-.11,-.15,-.06,-.01,-.26,-.33,.24
1902,-.28,-.34,-.21,-.54,-.03,-.34,-1.45,-.51,-.33,-.02,-.05,-.27,-.43,-.07
1903,-.37,-.39,-.36,-.48,-.28,-.38,-.33,-.43,-.56,-.24,-.33,-.34,-.40,-.48
1904,-.47,-.49,-.45,-.52,-.46,-.43,-.22,-.61,-.55,-.44,-.47,-.36,-.49,-1.30
1905,-.26,-.30,-.22,-.42,-.08,-.35,-.11,-.24,-.63,-.12,-.04,-.32,-.37,-.32
1906,-.22,-.25,-.20,-.27,-.19,-.22,-.33,-.07,-.40,-.22,-.16,-.19,-.22,-.70
1907,-.39,-.48,-.29,-.60,-.30,-.29,-.62,-.73,-.52,-.31,-.29,-.20,-.36,-1.19
1908,-.43,-.46,-.39,-.49,-.43,-.35,-.27,-.55,-.52,-.42,-.44,-.28,-.48,.69
1909,-.48,-.50,-.46,-.54,-.47,-.43,-.79,-.62,-.44,-.44,-.50,-.36,-.52,-.55
1910,-.43,-.45,-.42,-.42,-.48,-.37,-.60,-.25,-.49,-.49,-.47,-.32,-.45,.17
1911,-.43,-.42,-.44,-.43,-.41,-.47,-.30,-.42,-.47,-.42,-.40,-.43,-.52,.06
1912,-.35,-.46,-.23,-.60,-.17,-.36,-.51,-.79,-.50,-.27,-.07,-.35,-.29,-1.62
1913,-.34,-.42,-.25,-.45,-.26,-.34,-.51,-.33,-.51,-.39,-.13,-.27,-.40,-1.02
1914,-.15,-.20,-.10,-.26,-.05,-.17,-.39,-.16,-.29,-.11,.01,-.14,-.18,-.35
1915,-.14,-.15,-.12,-.24,.00,-.21,-.61,-.17,-.19,-.01,.00,-.14,-.23,-1.97
1916,-.36,-.42,-.30,-.38,-.44,-.22,-.50,-.54,-.25,-.49,-.39,-.22,-.17,-1.04
1917,-.46,-.58,-.35,-.51,-.63,-.18,-.84,-.50,-.44,-.69,-.57,-.22,-.09,.08
1918,-.29,-.40,-.19,-.41,-.33,-.13,-1.04,-.27,-.35,-.38,-.27,-.05,-.22,-.27
1919,-.28,-.35,-.19,-.44,-.19,-.22,-.73,-.56,-.30,-.23,-.16,-.14,-.32,.21
1920,-.27,-.31,-.23,-.26,-.25,-.31,-.05,-.21,-.35,-.38,-.12,-.18,-.48,-1.13
1921,-.19,-.12,-.26,.00,-.25,-.30,-.05,.16,-.09,-.29,-.20,-.22,-.38,-.83
1922,-.28,-.28,-.29,-.26,-.32,-.27,-.35,-.41,-.14,-.32,-.32,-.23,-.28,-.27
1923,-.27,-.23,-.31,-.16,-.30,-.33,.13,-.16,-.26,-.32,-.28,-.25,-.41,-.53
1924,-.27,-.19,-.35,-.14,-.25,-.43,.42,-.26,-.23,-.26,-.25,-.39,-.45,-.52
1925,-.22,-.14,-.29,-.05,-.24,-.37,-.12,.17,-.18,-.28,-.20,-.24,-.55,-.85
1926,-.11,.02,-.21,.02,.02,-.40,.55,.15,-.22,.01,.02,-.34,-.45,-.62
1927,-.22,-.14,-.29,-.14,-.16,-.38,.00,-.22,-.13,-.14,-.18,-.29,-.45,-1.37
1928,-.20,-.10,-.29,-.07,-.15,-.39,.69,-.18,-.23,-.15,-.16,-.28,-.48,-2.11
1929,-.36,-.34,-.38,-.38,-.28,-.45,.12,-.62,-.38,-.27,-.28,-.42,-.44,-1.06
1930,-.16,-.02,-.29,.04,-.11,-.42,.52,.03,-.11,-.09,-.12,-.32,-.46,-2.58
1931,-.10,.04,-.22,.00,.07,-.42,.55,-.05,-.14,.10,.04,-.41,-.40,-.40
1932,-.16,-.06,-.26,.03,-.17,-.34,.47,.19,-.22,-.19,-.15,-.20,-.53,-.98
1933,-.29,-.26,-.32,-.25,-.29,-.34,-.17,-.47,-.13,-.28,-.29,-.21,-.48,-1.13
